T, _, T, G, T, _, G, T, _, G, _, T, _, G, T, _, _, _, _, _
_, _, _, G, T, _, _, T, G, _, T, _, T, G, T, _, G, T, _, G
T, _, _, T, _, G, T, _, _, T, T, _, _, T, _, G, T, _, _, T
_, G, _, _, _, T, _, G, T, _, _, G, _, _, _, T, _, G, T, _
_, T, _, _, T, _, _, T, _, G, T, _, _, T, _, G, T, _, G, T
T, _, _, T, _, G, T, _, G, T, T, _, _, T, _, G, T, _, G, T
_, _, T, _, _, T, _, _, T, _, T, _, _, T, _, G, T, _, _, T
_, T, _, G, T, _, _, _, _, _, _, T, _, G, T, _, _, _, _, _
T, _, _, T, _, G, T, _, _, T, T, _, T, G, T, _, G, T, _, G
_, _, T, _, _, T, _, G, T, _, T, _, T, G, T, _, G, T, _, G
T, _, T, G, T, _, G, T, _, G, _, T, _, G, T, _, _, _, _, _
_, _, _, G, T, _, _, T, G, _, _, T, _, G, T, _, _, _, _, _
T, _, _, T, _, G, T, _, _, T, _, _, _, G, T, _, _, T, G, _
_, G, _, _, _, T, _, G, T, _, T, _, _, T, _, G, T, _, G, _
_, T, _, _, T, _, _, T, _, G, _, _, T, _, _, T, _, _, T, _
T, _, _, T, _, G, T, _, G, T, T, _, T, G, T, _, G, T, _, G
_, _, T, _, _, T, _, _, T, _, _, T, _, _, T, _, _, T, _, G
_, T, _, G, T, _, _, _, _, _, _, T, _, G, T, _, _, _, _, _
T, _, _, T, _, G, T, _, _, T, T, _, _, T, _, G, T, _, G, T
_, _, T, _, _, T, _, G, T, _, _, _, T, _, _, T, _, _, T, _
